trimestre,inadimplencia_pf,concessao_pf,saldo_credito_pf,credito_pessoal_valor_pf,credito_consignado_valor_pf,taxa_juros_media_pf,comprometimento_renda_pf,taxa_selic_mensal,rendimento_medio,pessoas_ocupadas,taxa_desocupacao,ipca,taxa_desocupacao_var_perc,rendimento_medio_var_perc,comprometimento_renda_pf_var_perc,taxa_juros_media_pf_var_perc,ipca_var_perc,taxa_desocupacao_lag_1,rendimento_medio_lag_1,comprometimento_renda_pf_lag_1,taxa_juros_media_pf_lag_1,ipca_lag_1
2012-04-01,32.78,556432.0,1316052.0,90559.0,3.0,4.456666666666667,24.72,0.6966666666666667,2897.0,154180.0,7.6,1.08,-5.000000000000004,0.3811503811503858,-1.5923566878981,-10.926049300466346,-11.475409836065564,8.0,2886.0,25.12,5.003333333333333,1.22
2012-07-01,32.62,601573.0,1345030.0,98021.0,3.0,4.416666666666667,23.05,0.6366666666666667,2912.0,154758.0,7.1,1.42,-6.578947368421051,0.5177770107007262,-6.7556634304207,-0.8975317875841493,31.481481481481467,7.6,2897.0,24.72,4.456666666666667,1.08
2012-10-01,32.19,643939.0,1396419.0,107733.0,3.0,4.36,23.04,0.57,2900.0,155330.0,6.9,1.99,-2.8169014084506894,-0.4120879120879106,-0.043383947939268364,-1.2830188679245236,40.14084507042255,7.1,2912.0,23.05,4.416666666666667,1.42
2013-01-01,32.4,689785.0,1407650.0,117900.0,22.0,4.456666666666666,23.81,0.5466666666666667,2952.0,155902.0,8.1,1.94,17.391304347826075,1.7931034482758568,3.342013888888884,2.2171253822629744,-2.5125628140703515,6.9,2900.0,23.04,4.36,1.99
2013-04-01,31.19,744639.0,1441152.0,131945.0,39.0,4.496666666666667,22.9,0.6066666666666666,2986.0,156466.0,7.5,1.18,-7.4074074074074066,1.1517615176151796,-3.8219235615287728,0.8975317875841604,-39.175257731958766,8.1,2952.0,23.81,4.456666666666666,1.94
2013-07-01,31.51,801638.0,1460803.0,147955.0,41.0,5.023333333333333,22.27,0.7133333333333333,3027.0,157023.0,7.0,0.62,-6.666666666666665,1.373074346952441,-2.7510917030567628,11.712379540400297,-47.45762711864406,7.5,2986.0,22.9,4.496666666666667,1.18
2013-10-01,30.5,844265.0,1505304.0,154882.0,35.0,5.34,22.39,0.7733333333333334,3003.0,157565.0,6.3,2.04,-9.999999999999998,-0.7928642220019877,0.5388414907947947,6.303915063039156,229.03225806451616,7.0,3027.0,22.27,5.023333333333333,0.62
2014-01-01,30.78,899407.0,1499654.0,164117.0,26.0,5.653333333333333,23.53,0.8033333333333333,3065.0,158107.0,7.2,2.18,14.285714285714302,2.0646020646020613,5.091558731576606,5.867665418227208,6.8627450980392135,6.3,3003.0,22.39,5.34,2.04
2014-04-01,31.48,958780.0,1522387.0,174282.0,18.0,5.896666666666667,23.53,0.8366666666666666,3042.0,158641.0,6.9,1.54,-4.1666666666666625,-0.750407830342581,0.0,4.30424528301887,-29.357798165137616,7.2,3065.0,23.53,5.653333333333333,2.18
2014-07-01,32.07,1024808.0,1531562.0,184438.0,29.0,5.91,22.72,0.91,3066.0,159168.0,6.9,0.83,0.0,0.7889546351084853,-3.442413939651523,0.22611644997172498,-46.103896103896105,6.9,3042.0,23.53,5.896666666666667,1.54
2014-10-01,32.59,1088499.0,1575258.0,195820.0,54.0,6.076666666666667,22.94,0.9166666666666666,3060.0,159679.0,6.6,1.72,-4.34782608695653,-0.195694716242667,0.9683098591549477,2.820078962210948,107.2289156626506,6.9,3066.0,22.72,5.91,0.83
2015-01-01,31.59,1148078.0,1582361.0,205242.0,41.0,6.239999999999999,25.08,0.9333333333333332,3060.0,160189.0,8.0,3.83,21.212121212121215,0.0,9.328683522231906,2.6878771256170886,122.67441860465115,6.6,3060.0,22.94,6.076666666666667,1.72
2015-04-01,33.23,1203458.0,1599576.0,211170.0,30.0,6.486666666666667,25.12,1.0033333333333332,3044.0,160693.0,8.4,2.26,5.000000000000004,-0.5228758169934622,0.15948963317384823,3.9529914529914834,-40.99216710182768,8.0,3060.0,25.08,6.239999999999999,3.83
2015-07-01,32.02,1247678.0,1614299.0,215471.0,20.0,6.71,24.87,1.1333333333333335,3005.0,161192.0,9.0,1.39,7.14285714285714,-1.2812089356110334,-0.9952229299363013,3.442959917780053,-38.49557522123893,8.4,3044.0,25.12,6.486666666666667,2.26
2015-10-01,35.64,1284613.0,1641325.0,219293.0,12.0,6.890000000000001,22.13,1.11,2965.0,161679.0,9.1,2.82,1.1111111111111072,-1.331114808652245,-11.017289907519112,2.6825633383010583,102.8776978417266,9.0,3005.0,24.87,6.71,1.39
2016-01-01,38.33,1314101.0,1595951.0,221431.0,8.0,6.8933333333333335,24.81,1.0733333333333333,2969.0,162166.0,11.1,2.62,21.97802197802199,0.13490725126474867,12.110257568910976,0.04837929366230398,-7.092198581560272,9.1,2965.0,22.13,6.890000000000001,2.82
2016-04-01,41.35,1336653.0,1573227.0,222169.0,4.0,7.169999999999999,24.86,1.11,2934.0,162648.0,11.4,1.75,2.7027027027027195,-1.1788480970023607,0.2015316404675671,4.0135396518375055,-33.206106870229014,11.1,2969.0,24.81,6.8933333333333335,2.62
2016-07-01,43.63,1369407.0,1552336.0,224460.0,2.0,7.306666666666666,23.98,1.1466666666666667,2959.0,163128.0,11.9,1.04,4.385964912280693,0.8520790729379613,-3.539823008849552,1.906090190609011,-40.57142857142857,11.4,2934.0,24.86,7.169999999999999,1.75
2016-10-01,46.14,1383625.0,1561579.0,224477.0,0.0,7.489999999999999,22.08,1.07,2979.0,163603.0,12.2,0.74,2.5210084033613356,0.6759040216289369,-7.923269391159304,2.5091240875912524,-28.846153846153854,11.9,2959.0,23.98,7.306666666666666,1.04
2017-01-01,47.53,1416721.0,1540450.0,222121.0,0.0,7.539999999999999,24.19,1.0033333333333334,3017.0,164077.0,13.9,0.96,13.934426229508201,1.2755958375293641,9.556159420289866,0.6675567423231055,29.729729729729737,12.2,2979.0,22.08,7.489999999999999,0.74
2017-04-01,48.44,1446253.0,1537993.0,218966.0,0.0,7.1433333333333335,22.93,0.8433333333333334,2982.0,164545.0,13.1,0.22,-5.755395683453246,-1.1600928074245953,-5.2087639520463025,-5.260831122900078,-77.08333333333333,13.9,3017.0,24.19,7.539999999999999,0.96
2017-07-01,50.76,1479681.0,1535507.0,214610.0,0.0,7.196666666666666,22.85,0.7466666666666667,2992.0,165007.0,12.5,0.59,-4.580152671755721,0.3353454057679395,-0.34888791975576927,0.7466168922071859,168.18181818181816,13.1,2982.0,22.93,7.1433333333333335,0.22
2017-10-01,51.37,1500257.0,1591577.0,210344.0,0.0,6.94,20.87,0.5833333333333334,3009.0,165459.0,11.9,1.14,-4.799999999999994,0.5681818181818121,-8.665207877461711,-3.5664659564613177,93.22033898305084,12.5,2992.0,22.85,7.196666666666666,0.59
2018-01-01,51.83,1517184.0,1596854.0,204031.0,0.0,6.966666666666666,23.48,0.5266666666666667,3039.0,165909.0,13.2,0.7,10.924369747899142,0.9970089730807485,12.505989458552946,0.3842459173871049,-38.59649122807017,11.9,3009.0,20.87,6.94,1.14
2018-04-01,50.71,1539584.0,1643757.0,200819.0,0.0,6.716666666666666,23.61,0.52,3039.0,166354.0,12.6,1.89,-4.545454545454541,0.0,0.5536626916524678,-3.5885167464114853,170.00000000000003,13.2,3039.0,23.48,6.966666666666666,0.7
2018-07-01,51.32,1558507.0,1682078.0,202343.0,0.0,6.823333333333333,22.16,0.5266666666666667,3034.0,166801.0,12.0,0.72,-4.761904761904756,-0.16452780519907728,-6.1414654807285025,1.5880893300248333,-61.904761904761905,12.6,3039.0,23.61,6.716666666666666,1.89
